Month,January,February ,March,April,May,June,July,August,September,October,November,December
1,34,34,36,43,50,57,61,66,61,54,48,39
2,34,34,36,43,50,59,63,68,61,54,46,39
3,34,34,34,43,50,59,64,66,59,55,46,39
4,34,36,34,43,50,59,66,64,61,55,46,39
5,34,36,36,43,50,59,66,66,59,54,45,41
6,36,36,34,43,52,59,64,66,61,54,45,39
7,36,36,36,43,52,59,64,66,63,52,45,37
8,36,36,36,43,54,59,64,66,63,54,46,39
9,37,34,37,43,55,59,66,66,63,52,45,39
10,36,34,37,45,55,61,66,64,61,52,43,37
11,36,34,39,45,54,59,64,64,61,52,43,39
12,37,30,37,45,52,59,64,63,59,52,45,37
13,36,,37,46,52,59,64,64,59,50,43,37
14,36,34,37,45,52,59,64,64,59,50,43,37
15,36,34,37,46,52,57,66,64,59,48,45,37
16,36,,39,46,54,57,64,64,57,48,43,36
17,37,34,41,46,54,59,66,64,57,48,43,36
18,36,34,39,46,54,61,64,63,57,46,43,34
19,36,34,39,46,54,61,66,66,57,48,41,34
20,36,34,37,45,55,61,64,66,57,50,41,34
21,34,34,37,46,57,63,64,64,57,48,41,34
22,34,34,37,48,55,61,64,64,57,50,41,34
23,30,34,39,48,57,61,66,63,57,50,41,36
24,,34,39,48,55,61,66,63,55,48,39,37
25,,36,39,50,57,61,64,63,57,50,41,37
26,34,36,37,50,55,61,64,64,55,50,41,36
27,34,34,39,52,57,61,66,63,55,48,41,36
28,34,37,43,52,57,61,68,61,55,48,41,36
29,,41,52,57,61,68,61,55,46,39,34
30,34,,41,52,57,63,66,61,55,48,39,34
31,34,,43,,57,,66,61,,48,0,34
